drug_id,trade_name,scientific_name,price,package,supplier,available,last_updated
850,VIDI3 50000 IU Cap,each capsule contains 50000IU Vitamin D3 (cholecalciferol),98,20 Cap,National Pharmaceutical and Herbs,yes,2026-04-15
1150,NOVODEXON SYRUP,Dexamethasone (Sodium Phosphate) 0.5mg/5 ml,26,100 ml,Beit Jala,yes,2026-04-14
1197,ZYDEX B CREAM,Fusidic acid         2%Betamethsone (Valerate) 0.10%,30,15 g,Beit Jala,yes,2026-04-14
1199,ZYDEX HC CREAM,Fusidic Acid 2%Hydrocortisone Acetate 1%,30,15 g,Beit Jala,yes,2026-04-14
1201,ZYDEX OPHTHALMIC GEL,Fusidic Acid 1%,20,5 g,Beit Jala,yes,2026-04-14
1195,Xaprine Tab 10mg,Cyclobenzaprine HCl 10 mg/tablet,30,30 tab,Beit Jala,yes,2026-04-14
1191,VIVAXIN 250 mg,Levofloxacin (hemihydrate) 250 mg/tablet,35,7 Tab,Beit Jala,yes,2026-04-14
1192,VIVAXIN 500 mg,Levofloxacin (hemihydrate) 500 mg/tablet,60,7 Tab,Beit Jala,yes,2026-04-14
1193,VIVAXIN 750 mg 5 Tab,Levofloxacin (hemihydrate) 750 mg/tablet,65,5 Tab,Beit Jala,yes,2026-04-14
4568,VILDA 50MG TABLETS,VILDAGLIPTIN,34,28 Tablets,Beit Jala,yes,2026-04-14
4480,VIRULAN CREAM 1.5 GM,Penciclovir,20,1.5 g/tube,Beit Jala,yes,2026-04-14
4481,VIRULAN CREAM 5 G,PENCICLOVIR,45,5g/tube,Beit Jala,yes,2026-04-14
1188,UROCLEAN,Sodium Benzoate 2.00%Hexamine 5.00%,30,125 g,Beit Jala,yes,2026-04-14
3640,VEOXGEL 2.32% EMULGEL,Diclofenac Diethylamine 2.32%,30,Emulgel 50G TUBE,Beit Jala,yes,2026-04-14
1183,TINASIL CREAM,Terbinafine (HCl) 1%,24,15 g,Beit Jala,yes,2026-04-14
1184,TINASIL SOL.,Terbinafine (HCl) 1%,30,30 ml,Beit Jala,yes,2026-04-14
1186,TINASIL TABLET 250,Terbinafine (HCl) 250mg/tab.,24,10 tab,Beit Jala,yes,2026-04-14
4290,IG VENA 5% - 50ML (2.5G),Human normal immunoglobulin 50mg/ml - (2.5G),832,50 ML VIAL,BEIT AL- DAWAA DRUG STORE,yes,2026-04-14
4292,IG VENA 5% - 200ML (10G),Human normal immunoglobulin 50mg/ml - (10G),3071,200 ML VIAL,BEIT AL- DAWAA DRUG STORE,yes,2026-04-14
2502,VALZADEPINE 160/10 TABLETS (30 TAB),Valsartan 160mg and 10 mg Amlodipine,80,30 TABLETS / BOX,Pharmacare Company,yes,2026-04-14
1175,SPOROFULVIN SUSP,Griseofulvin 125mg/5ml,25,100 ml,Beit Jala,yes,2026-04-14
1176,SPOROFULVIN TAB.,Griseofulvin 125mg/tab,25,40 tab,Beit Jala,yes,2026-04-14
1173,SILVEZIN CREAM 50gm,Silver Sulfadiazine 1.00%,20,50 g,Beit Jala,yes,2026-04-14
1166,RELAXON TAB,Paracetamol 500 mgOrphenadrine Citrate 30 mg,38,20 tab,Beit Jala,yes,2026-04-14
1167,RES-Q10 TAB,Ubidecarenone (Coenzyme Q10) 30mg/cap.,63,30 caps,Beit Jala,yes,2026-04-14
3391,SETAHIST  TAB,Cetirizine Hydrochloride,30,20 TAB,Beit Jala,yes,2026-04-14
1165,Prostanil TAB,Finasteride 5mg/tablet,40,30 tab,Beit Jala,yes,2026-04-14
1163,Permicide 5 %,Permethrin 5% w/w,40,30 g,Beit Jala,yes,2026-04-14
1164,POVIDEX,Povidone Iodine 5%,24,12 pessaries,Beit Jala,yes,2026-04-14
4225,ONASET 4mg 10 TAB,Ondansetron (as hydrochloride dihydrate),110,10 tab,Beit Jala,yes,2026-04-14
4224,ONASET 8mg 10 TAB,Ondansetron (as hydrochloride dihydrate),150,10 tab,Beit Jala,yes,2026-04-14
1149,NOVOCORT EYE OINT,Neomycin Sulfate 0.50%Hydrocortisone Acetate 1%,20,4 g,Beit Jala,yes,2026-04-14
1146,NEUROVIT TAB,Vitamin B1 Mononitrate 100mg/tabletVitamin B6  250mg/tabletVitamin B12 250mcg/tablet,28,20 tab,Beit Jala,yes,2026-04-14
1142,NEODEX,Neomycin Sulphate eq. to 3.5mg Neomycin/ml Dexamethasone Sodium Phosphate eq. to 1mg Dexamethasone Phosphate/ml,20,10 ml,Beit Jala,yes,2026-04-13
1141,NEOCORT EAR DROPS,Neomycin Sulfate 5mg/mlDexamethasone Na PO4 1mg/mlPolymixin B Sulfate 10000 IU/ml,23,10 ml,Beit Jala,yes,2026-04-13
1140,Nedomet gel,Metronidazole,30,30 g,Beit Jala,yes,2026-04-13
3576,NASOFRIN NASAL SPRAY,Phenylephrine HCl 0.5%,20,15ml,Beit Jala,yes,2026-04-13
1138,MYROX 300 MG TAB.,Roxithromycin 300mg /tab,34,7 tab,Beit Jala,yes,2026-04-13
1135,MYCOTEN VAGINAL 3 TAB,Clotrimazole 200 mg,28,3 TAB,Beit Jala,yes,2026-04-13
1136,MYCOTEN VAGINAL CREAM,Clotrimazole 2%,22,20 g,Beit Jala,yes,2026-04-13
1131,Muzil syrup,Ambroxol HCl  30mg/5ml,23,100 ml,Beit Jala,yes,2026-04-13
4307,Mubizeen Nasal Ointment,Mupirocin calcium,25,3 g/tube,Beit Jala,yes,2026-04-13
4365,Mubizeen ointment,mupirocin,25,15 g,Beit Jala,yes,2026-04-13
1129,Moxicam 15 mg 30 Tab,Meloxicam  15mg/tab,64,30 Tab,Beit Jala,yes,2026-04-13
1127,Migratan 100 mg Tab,Sumatriptan as succinate 100mg/tab.,48,6 caplet,Beit Jala,yes,2026-04-13
1126,MEBERINE 20 TAB.,Mebeverine 135mg/tab.,18,20 tab,Beit Jala,yes,2026-04-13
4484,MACROKLEAN POWDER FOR ORAL SOLUTION,"Sachet A contains: Macrogol 3350, sodium sulfate anhydrous , sodium chloride and potassium chloride          Sachet B contains: Ascorbic acid and sodium ascorbate .",72,4 sachets/Box   (Each 2 sachets (Sachet A and Sachet B) are contained in a transparent bag.),Beit Jala,yes,2026-04-13
1121,LORAX SYRUP,Loratadine 1mg/ml,23,120 ml,Beit Jala,yes,2026-04-13
1122,LORAX TAB 10,Loratadine 10mg/tablet,23,10 tab,Beit Jala,yes,2026-04-13
1117,LOLIP 20 MG CAPLET,Atorvastatin (Calcium) 20mg/cap.,30,30 tab,Beit Jala,yes,2026-04-13
1118,LOLIP 40 MG CAPLET,Atorvastatin (Calcium) 40mg/cap.,45,30 tab,Beit Jala,yes,2026-04-13
3491,LEUKOMONT 5 MG CHEWABLE TAB,MOONTELUKAST  AS SODIUM,75,30 Tab,Beit Jala,yes,2026-04-13
4578,LEUKOMONT4MG CHEWABEL TABLETS,MONTELUKAST (AS SODIUM),67,30 TAB,Beit Jala,yes,2026-04-13
3483,LEUKOMONT 10 mg,MOONTELUKAST  AS SODIUM,65,30 Tab,Beit Jala,yes,2026-04-13
1112,KLARIMAX 500 TAB,CLARITHROMYCIN 500MG/TABLET,45,14 caplet,Beit Jala,yes,2026-04-13
1107,KETOFEN EYE DROPS,Ketotifen (H-Fumarate)  0.25mg/ml,30,5 ml,Beit Jala,yes,2026-04-13
1108,KETOFEN SYRUP,Ketotifen (H-Fumarate)  1mg/5 ml,18,100 ml,Beit Jala,yes,2026-04-13
1109,KETOFEN TAB,Ketotifen (H-Fumarate) 1mg/tablet,24,20 tab,Beit Jala,yes,2026-04-13
1098,I CLEAR,Polyvinyl Alcohol 14mg/ml,18,10 ml,Beit Jala,yes,2026-04-13
1097,HUDU CAPLET,Diphenhydramine HCl 50 mg/tablet,25,20 tab,Beit Jala,yes,2026-04-13
1085,HEALER CREAM,Mafenide (Acetate) 8.5% w/w,36,15 g,Beit Jala,yes,2026-04-13
1086,HEMORAL OINT,Hydrocortisone Acetate  0.50%Lidocaine HCl                1.50%Zinc Oxide                     5.00%,20,28 g,Beit Jala,yes,2026-04-13
1087,HEMORAL SUPP,Hydrocortisone Acetate   0.50%Lidocaine HCl                 1.50%Zinc Oxide                      3.00%,20,6 supp,Beit Jala,yes,2026-04-13
1082,HAIRMAX 2% SOL. FOR WOMEN,Minoxidil                           2%,62,60 ml,Beit Jala,yes,2026-04-13
1083,HAIRMAX 5% SOL. FOR MEN,Minoxidil                           5%,90,60 ml,Beit Jala,yes,2026-04-13
1077,GABAMAX 50mg,Pregabalin          50 mg/capsule,35,30 Cap,Beit Jala,yes,2026-04-13
1078,GABAMAX 75 mg,Pregabalin          75  mg/capsule,60,30 CAP,Beit Jala,yes,2026-04-13
1073,FURAMIX SUSP,Furazolidone      17.5 mg/5ml   Kaolin                1000mg /5ml                 Pectin                50 mg/5 ml,20,100 ml,Beit Jala,yes,2026-04-13
1074,FURAMIX TAB,Furazolidone      50 mg/tab Kaolin                100 mg/tab                 Pectin                 20 mg/tab,20,20 tab,Beit Jala,yes,2026-04-13
1072,FORTEX TAB.,Sildenafil (Citrate) 50 mg/tablet,29,2 tablets,Beit Jala,yes,2026-04-13
1069,ETOFLAM 60 mg,Etoricoxib 60 mg/tab.,22,10 Tab,Beit Jala,yes,2026-04-13
1070,ETOFLAM 90 mg,Etoricoxib 90 mg/tab.,32,10 tab,Beit Jala,yes,2026-04-13
1068,ETOFLAM 120 MG,ETORICOXIB 120 MG/TAB.,36,7 tab,Beit Jala,yes,2026-04-13
3641,Epihist 0.05% eye drops,Epinastine HCl,26,5ml/bottle,Beit Jala,yes,2026-04-13
1067,ENCYTOL 2 MG TAB,TOLTERODINE AS TARTRATE 2 MG/TAB.,65,30 tab,Beit Jala,yes,2026-04-13
4587,Isofen plus Tablet,"paracetamol 500mg, Ibuprofen 200mg",20,21 Tablet,Beit Jala,yes,2026-04-13
2033,JEPHAZIM 1G VIALS,CEFTAZIDIME 1 G,37,1 VIAL,Jepharm Co.,yes,2026-04-13
1989,DICLOFEN 75MG SUPPOSITORIES.,DICLOFENAC SOD. 75MG,23,10 SUPP,Jepharm Co.,yes,2026-04-13
1198,ZYDEX CREAM,Fusidic Acid 2%,21,15 g,Beit Jala,yes,2026-04-13
1194,Vivaxin eye drop 5mg/ml,Levofloxacin (hemihydrate) 5 mg/ml,30,5 ml,Beit Jala,yes,2026-04-13
1985,DICLOFEN 100MG SUPPOSITORIES,DICLOFENAC SOD. 100MG,28,12 SUPP,Jepharm Co.,yes,2026-04-13
3286,JUVESTA 100MG TABLETS,Sitagliptine Ph.,86,30 Tab,Jepharm Co.,yes,2026-04-13
3496,JUVESTA 50MG TABLETS,Sitagliptine PH. Monohydrate,54,30 Tab,Jepharm Co.,yes,2026-04-13
1586,ORALUTE TAB.,MEDROXYPROGESTERONE ACETATE,20,20 tab,BPC,yes,2026-04-13
1608,PROGEST 5 MG 20TAB.,ALLYLESTRANOL,40,20 tab,BPC,yes,2026-04-13
5660,TOLERAN 25MG SOFT GELATIN CAPS- 20 CAPS<span class='flash'> new </span>,Diclofenac Potassium,25,20 Cap,BPC,yes,2026-04-13
1679,URICNASE 100 MG .1000 TAB.,ALLOPURINOL,234,1000,BPC,yes,2026-04-13
1705,ZINEX 250 MG,CEFUROXIME,30,14 tab,BPC,yes,2026-04-13
1704,ZINEX 250 MG 10 TAB,CEFUROXIME,22,10 TABLETS,BPC,yes,2026-04-13
1707,ZINEX 500 MG 14 TAB,CEFUROXIME,55,14 TABLETS,BPC,yes,2026-04-13
4769,XYNTHA 500 IU VIAL,MOROCTOCOG ALPHA,1155,500 IU/VIAL,Beit Hanina Drug Store,yes,2026-04-13
1805,CARTIA 100 mg Tab.,ACETYLSALICYLIC ACID,13,28 Tab,Beit Hanina Drug Store,yes,2026-04-13
713,INDOVIS CAP 25M3/ 30,Indomethacin,11,30 CAP,Syam Drug Store,yes,2026-04-13
4837,ABIRATERONE S.K 250 MG,ABIRATERONE ACETATE,3102,120 tablet/Bottle,Al Bayan Drug Store,yes,2026-04-13
4223,INHIXA 80,Enoxaparin,56,2 PFS,JePharm Drug Store,yes,2026-04-13
5290,JOSIGLIP 100 MG-28 TAB,SITAGLIPTIN HYDROCHLORIDE,85,28 TAB,MASROUJI CO.,yes,2026-04-13
5291,JOSIGLIP 50 MG-28 TAB,SITAGLIPTIN HYDROCHLORIDE,77,28 TAB,MASROUJI CO.,yes,2026-04-13
767,OMEPRA 20 MG CAPS./28,Omeprazole,25,28 CAP,Syam Drug Store,yes,2026-04-09
2078,NORMASAL NASAL SPRAY,SODIUM CHLORIDE 0.74 %,20,20 ML,Jepharm Co.,yes,2026-04-09
4841,TORISAM 60 MG 10 TAB,ETORICOXIB,23,10 TAB,Sama Pharmaceutical. Co.,yes,2026-04-09
4843,TORISAM 90 MG 10 TAB,ETORICOXIB,32,10 TAB,Sama Pharmaceutical. Co.,yes,2026-04-09
4844,TORISAM 90 MG 7 TAB,ETORICOXIB,22,7 TAB,Sama Pharmaceutical. Co.,yes,2026-04-09
4489,TADACIP 10 MG 2 TAB,Tadalafil,28,2,Sama Pharmaceutical. Co.,yes,2026-04-09
4487,TADACIP 20MG 1 TABLET,Tadalafil 20 mg,24,1 tab,Sama Pharmaceutical. Co.,yes,2026-04-09
4486,TADACIP 5 MG 14 TAB,Tadalafil,138,14 tab,Sama Pharmaceutical. Co.,yes,2026-04-09
4913,TORISAM 120MG 7 TABLETS,Etoricoxib 120MG,36,7 Tablets,Sama Pharmaceutical. Co.,yes,2026-04-09
4490,TADACIP 20MG 2 TABLETS,Tadalafil 20MG,48,2 tab,Sama Pharmaceutical. Co.,yes,2026-04-09
622,SIDI CREAM 2%,Fusidic acid,21,15GM,Sama Pharmaceutical. Co.,yes,2026-04-09
623,SIDI-ZONE CREAM,Fusidic acid+Betamethasone,30,15GM,Sama Pharmaceutical. Co.,yes,2026-04-09
4094,MOLPAR 250 mg Syrup,Paracetamol,20,100 ml,Sama Pharmaceutical. Co.,yes,2026-04-09
4497,Molpar Concentrated Suspension,Paracetamol,18,15 ml,Sama Pharmaceutical. Co.,yes,2026-04-09
3418,MIORET  4 MG 30 TAB,Triamcinolone,22,30 Tab,Sama Pharmaceutical. Co.,yes,2026-04-09
4269,Metro Suspension,Metronidazole Benzoate 125mg/ 5ml,20,120 ml,Sama Pharmaceutical. Co.,yes,2026-04-09
613,METRO TAB 500,Metronidazole,20,20 Tablets,Sama Pharmaceutical. Co.,yes,2026-04-09
4375,Metro-S suspension,metronidazole Benzoate 200mg/5ml,25,120 ml,Sama Pharmaceutical. Co.,yes,2026-04-09
609,LIPOVAST 10 MG,Atorvastatin,24,30 Tablets,Sama Pharmaceutical. Co.,yes,2026-04-09
610,LIPOVAST 20 MG,Atorvastatin,32,30 Tablets,Sama Pharmaceutical. Co.,yes,2026-04-09
611,LIPOVAST 40 MG 30 TAB,Atorvastatin,49,30 Tablets,Sama Pharmaceutical. Co.,yes,2026-04-09
5814,ZYPREXA 10 mg VELOTAB,Olanzapine,131,28 Tab,TRANSMED PHARMA,yes,2026-04-09
5813,ZYPREXA 5 mg VELOTAB,Olanzapine,88,28 Tab,TRANSMED PHARMA,yes,2026-04-09
1057,DENACINE 300 CAPS,Clindamycin (HCl) 300 mg/cap.,20,16 CAP,Beit Jala,yes,2026-04-08
1058,DENACINE EMULGEL,Clindamycin ( phosphate) 1%,31,30 g,Beit Jala,yes,2026-04-08
4260,Denacine Vaginal Ovules,clindamycin (as phosphate) 100mg/ovule,45,3 ovules,Beit Jala,yes,2026-04-08
1054,DEEDENSE TAB.2000,Vitamin D3 2000 I.U.,22,30 tab,Beit Jala,yes,2026-04-08
1049,DANDREX SHAMPOO,Ketoconazole 20 mg/g,40,100 ml,Beit Jala,yes,2026-04-08
4233,"DEEDENSE 50,000 CAP",VIT D3 (AS CHOLECALCIFEROL),55,12 cap,Beit Jala,yes,2026-04-08
1048,CORTEN CREAM 1%15G,HYDROCORTISONE ACETATE 1%,18,15 g,Beit Jala,yes,2026-04-08
1044,CLOPIDEX TAB,Clopidogrel (bisulfate) 75 mg/tablet,40,30 tab,Beit Jala,yes,2026-04-08
1038,BISMATROL TABLET,Bismuth subsalicylate 262 mg/tablet,30,30 tab,Beit Jala,yes,2026-04-08
3639,BENZIMA 0.15% OROMUCOSAL SPRAY,BENZYDAMIN HCL,28,30 ml,Beit Jala,yes,2026-04-08
3638,BENZIMA 0.3% OROMUCOSAL SPRAY,BENZYDAMIN HCL,38,30 ml,Beit Jala,yes,2026-04-08
4266,BENZIMA MOUTH GEL 10G,BENZYDAMINE HCL AND CETYLPYRIDINIUM CL,25,10g tube,Beit Jala,yes,2026-04-08
3642,Benzima-C Mouthwash and Gargle,Benzydamine HCl 0.15% Chlorhexidine Gluconate 0.12%,30,200Ml/Bottle,Beit Jala,yes,2026-04-08
1033,BABY NAM,Sodium Bicarbonate 50 mg/5mlAnethol (Anise Oil) 0.4 mg/5mlPeppermint Oil 0.35 mg/5ml,18,100 ml,Beit Jala,yes,2026-04-08
1030,AZYTRA   22.5 ML SUSPENSION,Azithromycin (as Dihydrate) 200mg/5ml,35,22.5 ML,Beit Jala,yes,2026-04-08
1025,AMARREX 3 TAB,Glimepiride 3 mg/tablet,20,30 tab,Beit Jala,yes,2026-04-08
1027,ANAFLAM 50mg,Diclofenac Potassium  50mg/tablet,21,20 tab,Beit Jala,yes,2026-04-08
1026,AMARREX 4 TAB,Glimepiride 4 mg/tablet,25,30 tab,Beit Jala,yes,2026-04-08
4354,IXABAN 5 MG 60 TAB.,APIXABAN 5 MG / TAB,190,60 TAB,BPC,yes,2026-04-07
4703,GLYSIA 100 MG TAB,SITAGLIPTIN AS MONOHYDRATE PHOSPHATE,82,30 TAB,BPC,yes,2026-04-07
4704,GLYSIA 50 MG TAB,SITAGLIPTIN AS MONOHYDRATE PHOSPHATE,52,30 TAB,BPC,yes,2026-04-07
1431,CEFIXON 1G VIAL,CEFTRIAXON (AS SODIUM) 1 GM,20,1G VIAL,BPC,yes,2026-04-07
1432,CEFIXON 1G VIAL + LIDOCAINE,CEFTRIAXON (AS SODIUM) & LIDOCAINE,25,1G VIAL,BPC,yes,2026-04-07
1460,DECORT 0.75MG 20 TAB,DEXAMETHASONE BASE,22,20 tab,BPC,yes,2026-04-07
5162,ETOX 500 TAB 30 TABLETS,Etodolac,135,30 tab,BPC,yes,2026-04-07
5163,ETOX 400 TAB 30 TAB,Etodolac,95,30 tab,BPC,yes,2026-04-07
4868,TASIGNA 200 MG 112 CAP,NILOTINIB (HYDROCHLORIDE MONOHYDRATE),6285,112 CAP,MASROUJI CO.,yes,2026-04-07
2418,GLIMARYL 3 MG TABLETS (30 TAB),Glimepiride3 mg,25,30 TABLETS / BOX,Pharmacare Company,yes,2026-04-07
2509,VALZAN-HCT 80/12.5 TABLETS(30 TAB),Valsartan 80mg and 12.5 mg hydrochlorothiazide,26,30 TABLETS / BOX,Pharmacare Company,yes,2026-04-07
2523,ZALDIAR TABLETS,Tramadol hydrochloride37.5 mg  and 325 mg Paracetamol,25,20 TABLETS / BOX,Pharmacare Company,yes,2026-04-07
2505,VALZAN 160 TABLETS (30 TAB),Valsartan 160mg,38,30 TABLETS / BOX,Pharmacare Company,yes,2026-04-07
2506,VALZAN 80 TABLETS (30 TAB),Valsartan 60mg,25,30 TABLETS / BOX,Pharmacare Company,yes,2026-04-07
2507,VALZAN-HCT 160/12.5 TABLETS (30 TAB),Valsartan 160 mg and 12.5 mg hydrochlorothiazide,36,30 TABLETS / BOX,Pharmacare Company,yes,2026-04-07
2508,VALZAN-HCT 160/25 TABLETS (30 TAB),Valsartan 160mg and 25 mg hydrochlorothiazide,35,30 TABLETS / BOX,Pharmacare Company,yes,2026-04-07
3750,TALISTA 20 mg (2 tab),Tadalafil,50,2 Tab,Pharmacare Company,yes,2026-04-07
3424,SITAGLU 100 TABLETS (30 TAB),Sitagliptin (as phosphate monohydrate),82,30 TABLETS / BOX,Pharmacare Company,yes,2026-04-07
3423,SITAGLU 50 TABLETS (30 TAB),Sitagliptin (as phosphate monohydrate),52,30 TABLETS / BOX,Pharmacare Company,yes,2026-04-07
4372,Etorix 120 (10 tab),Etoricoxib 120mg,50,10 tab,Pharmacare Company,yes,2026-04-07
4373,Etorix 120 (5 tab),Etoricoxib 120mg,27,5 tab,Pharmacare Company,yes,2026-04-07
4476,Etorix 60 (10 tab),Etoricoxib 60mg,23,10 tab,Pharmacare Company,yes,2026-04-07
2363,Angiocare 20 mg Tablets,Enalapril maleate 20 mg,19,30 tab / Box,Pharmacare Company,yes,2026-04-07
2791,AMBROCARE SYRUP 30 mg/ 5 ml (100 ML),Ambroxol HCl,23,100 ml,Pharmacare Company,yes,2026-04-07
5895,ASPIRIN CARDIO 100 MG-28 TAB<span class='flash'> new </span>,Acetylsalicylic acid,13,28 TAB,Omnipal,yes,2026-04-07
5896,ASPIRIN CARDIO 100 MG-84 TAB<span class='flash'> new </span>,Acetylsalicylic acid,34,84 TAB,Omnipal,yes,2026-04-07
5897,ASPIRIN CARDIO 100 MG-98 TAB<span class='flash'> new </span>,Acetylsalicylic acid,39,98 TAB,Omnipal,yes,2026-04-07
5830,DIVINUSMET XR 10/1000 EXTENDED RELEASE-30 TAB<span class='flash'> new </span>,Dapagliflozin (as propanediol monohydrate) 10 mg and 1000 mg Metformin hydrochloride.,123,30 TAB,Pharmacare Store,yes,2026-04-07
5829,DIVINUSMET XR 5/1000 EXTENDED RELEASE-60 TAB<span class='flash'> new </span>,Dapagliflozin (as propanediol monohydrate) 5 mg and 1000 mg Metformin hydrochloride.,131,60 tab,Pharmacare Store,yes,2026-04-07
5409,PODOXIL 200MG-20 FCT<span class='flash'> new </span>,CEFPODOXIME PROXETIL,85,20 FCT,Jepharm Co.,yes,2026-04-07
3394,LEVOFLOX 250MG,Levofloxacin,48,10 Tab,Sama Pharmaceutical. Co.,yes,2026-04-06
3736,LEVOFLOX 500,Levofloxacin Hemihydrate 500mg,62,7 tablets,Sama Pharmaceutical. Co.,yes,2026-04-06
3393,LEVOFLOX 500 MG,Levofloxacin,44,5Tab,Sama Pharmaceutical. Co.,yes,2026-04-06
3395,LEVOFLOX 750 MG,Levofloxacin,65,5Tab,Sama Pharmaceutical. Co.,yes,2026-04-06
3735,LEVOFLOX 750,Levofloxacin Hemihydrate 750mg,90,7 tablets,Sama Pharmaceutical. Co.,yes,2026-04-06
4313,Ibusama forte Suspension,Ibuprofen 200mg/5ml,27,100ml,Sama Pharmaceutical. Co.,yes,2026-04-06
608,IBUSAMA SUSP,Ibuprofen,19,100 ML,Sama Pharmaceutical. Co.,yes,2026-04-06
4496,Ibumol Tablets,Ibuprofen 200mg and Paracetamol 500mg,20,20 tab,Sama Pharmaceutical. Co.,yes,2026-04-06
4098,DOTE 400 MG 20 TAB,Etodolac,63,20 Tab,Sama Pharmaceutical. Co.,yes,2026-04-06
3410,DOTE 400 mg 30 TAB,Etodolac,95,30 Tab,Sama Pharmaceutical. Co.,yes,2026-04-06
4099,DOTE 500 MG 20 TAB,Etodolac,90,20 Tab,Sama Pharmaceutical. Co.,yes,2026-04-06
3408,DOTE 500 MG 30 TAB,Etodolac,135,30 Tab,Sama Pharmaceutical. Co.,yes,2026-04-06
628,DICLO -SAMA GEL 50GM,Diclofenacdiethylamine,18,50 GM,Sama Pharmaceutical. Co.,yes,2026-04-06
604,DICLO SAMA 50MG,Diclofenac Na,22,30 Tab,Sama Pharmaceutical. Co.,yes,2026-04-06
3399,CIPRO - SAMA 500,Ciprofloxacin HCl,25,10 Tab,Sama Pharmaceutical. Co.,yes,2026-04-06
4318,CIPRO-SAMA 750mg,Ciprofloxacin hydrochloride 750 mg,38,film coated tablet /1 blister*10 tablets,Sama Pharmaceutical. Co.,yes,2026-04-06
3419,BILORIC 300 MG TAB,Allopurinol,18,30 Tab,Sama Pharmaceutical. Co.,yes,2026-04-06
4298,Biscosam 10mg,Bisacodyl 10mg,25,10 SUPP,Sama Pharmaceutical. Co.,yes,2026-04-06
5576,Bisopress 5mg TAB 1000 TAB,Bisoprolol Fumarate,416,1000 TAB,Sama Pharmaceutical. Co.,yes,2026-04-06
4889,AZIRO 500 MG 3 TAB,AZITHROMYCIN,22,3 TAB,Sama Pharmaceutical. Co.,yes,2026-04-06
5574,Biloric 100 MG TAB 1000 TAB,Allopurinol,194,1000 TAB,Sama Pharmaceutical. Co.,yes,2026-04-06
593,AZIRO TAB 500,Azithromycin,40,6 Tablets,Sama Pharmaceutical. Co.,yes,2026-04-06
590,AZIRO 200MG 15 ML,Azithromycin,24,15 ML,Sama Pharmaceutical. Co.,yes,2026-04-06
592,AZIRO TAB 250,Azithromycin,24,6 Tablets,Sama Pharmaceutical. Co.,yes,2026-04-06
4833,ANESTIK CREAM 5% 20 G<span class='flash'> new </span>,LIDOCAINE,22,20 G,Sama Pharmaceutical. Co.,yes,2026-04-06
2478,SUPRAVIR 10 G CREAM,Each 1 g contains 50 mg Aciclovir,45,ONE TUBE OF 10 G / BOX,Pharmacare Company,yes,2026-04-06
2497,TRAMAL LONG 150 MG (10 tab),Tramadol HCl 150 mg,36,10 tab,Pharmacare Company,yes,2026-04-06
4267,AZITHROMYCIN MBI 500 MG/VIAL 1 VIAL,Azithrmycine (as trihydrate)500 mg,55,1 vial,BEIT AL- DAWAA DRUG STORE,yes,2026-04-06
4574,Mannitol  / VIOSER  Solution for infusion 20 %   500 ml,MANNITOL 20 G,350,10 VIAL / PACK,BEIT AL- DAWAA DRUG STORE,yes,2026-04-06
5666,ASSERTIO 10MG - 10 FCT<span class='flash'> new </span>,Ketorolac Tromethamine,40,10 Tab,Pharmacare Company,yes,2026-04-06
4039,ZALINASE PLUS NASAL SPRAY,Azelastine HCL & Fluticasone Propionate,45,15 gm,Pharmacare Company,yes,2026-04-06
2522,VORYN 50 G GEL,Diclofenac diethylammonium,18,ONE TUBE OF 50 G / BOX,Pharmacare Company,yes,2026-04-06
2521,VORYN 50 MG TABLETS (30 TAB),Diclofenac sodium50MG,22,30 TABLETS / BOX,Pharmacare Company,yes,2026-04-06
4435,Voryn Forte (50 g),Diclofenac Diethylammonium,30,50 g gel,Pharmacare Company,yes,2026-04-06
4336,X-Pect Syrup,Guaifenesin100 mg /5ML,25,100 ml Syrup,Pharmacare Company,yes,2026-04-06
2513,V-CARE 100 MG TABLETS (2 TAB),Sildinafil 100mg,50,2 TABLETS / BOX,Pharmacare Company,yes,2026-04-06
2514,V-CARE 50 MG TABLETS (1 TAB),Sildinafil50mg,20,1 TABLET / BOX,Pharmacare Company,yes,2026-04-06
2503,VALZADEPINE 160/5 TABLETS (30 TAB),Valsartan 160mg and 5 mg Amlodipine,74,30 TABLETS / BOX,Pharmacare Company,yes,2026-04-06
2504,VALZADEPINE 80/5 TABLETS (30 TAB),Valsartan 80mg and 5 mg Amlodipine,69,30 TABLETS / BOX,Pharmacare Company,yes,2026-04-06
2494,TRAMAL LONG 50 MG TABLETS (30 TAB),Tramadol HCl 50mg,38,30 TABLETS / BOX,Pharmacare Company,yes,2026-04-06
2499,TROVAN 20 MG TABLETS TABLETS (30 TAB),Atorvastatin 20MG,32,30 TABLETS / BOX,Pharmacare Company,yes,2026-04-06
2500,TROVAN 40 MG TABLETS (28 TAB),Atorvastatin 40MG,50,28 TABLETS / BOX,Pharmacare Company,yes,2026-04-06
4317,Uriban oral solution,Oxybutinin HCl 5mg/5ml,37,150 ml bottle,Pharmacare Company,yes,2026-04-06
2493,TRAMAL 50 MG DISPERSIBLE TABLETS (30 TAB),Tramadol HCl 50mg,38,30 TABLETS / BOX,Pharmacare Company,yes,2026-04-06
2496,TRAMAL LONG 100 mg TABLETS (10 TAB),Tramadol HCl 100mg,22,10 TABLETS / BOX,Pharmacare Company,yes,2026-04-06
